Id,CurrentPrice,OriginalPrice,Source,Sku,Brand,Category,Title,Model,Options,Size,Groupset
119016078,4250,4250,BikeExchange,???,Specialized,road-bike,Specialized Roubaix Expert Sram Red Etap As New Condition with many Extras,,,M/L,Shimano Dura Ace
118997720,4500,4500,BikeExchange,???,Cervelo,road-bike,Cervelo Aspero Purple Sunset Size 51,,,51cm,Shimano GRX 810
119059334,3300,3300,BikeExchange,???,Mondraker,road-bike,2022 Mondraker F-Play 26,,Small / Grey,,
119064223,3300,3300,BikeExchange,???,Scott,road-bike,2020 Scott Ransom 920 - Medium,,Medium / Gold,,
119034729,4299,4299,BikeExchange,???,Kalkhoff,road-bike,Kalkholl Endeavour 5.B,,Medium / White,,
118997643,550,550,BikeExchange,???,Gios,road-bike,GIOS STILO - single speed / fixed gear,,,S/M,
118716593,11750,13000,BikeExchange,???,Specialized,road-bike,S-Works Tarmac SL7 Custom 52cm DURA-ACE Di2,,52cm / Black / 52cm,,Shimano Dura Ace Di2 12 Speed
119059401,2400,2700,BikeExchange,???,Liv,road-bike,Liv Avail Advanced 2 - 2022 - near-new condition - rarely ridden,Avail Advanced 2,,Small,Shimano 105
118345252,1800,1800,BikeExchange,???,Merida,road-bike,Merida Scultura Endurance 6000,,,XL,Shimano Ultegra
119064992,4997,4997,BikeExchange,???,BMC,road-bike,BMC Roadmachine 01 2,,,Large,SRAM Force eTap AXS
118848894,2000,2000,BikeExchange,???,Trek,road-bike,Trek Fuel 9.8 size S,,,Small,
